"","name","address","city","state","zip","Zip.Plus","Contact.First.Name","Contact.Last.Name","Contact.Title","Phone","Business.Description","Primary.NAICS","NAICS2","NAICS3","NAICS4","NAICS5","Business.Type","County","Employee","Annual.Sales","URL","Year.Established","address_new","url","type","latitude","longitude"
"1","A & T State Univ Art Galleries","202 University Cir","Greensboro","NC",27411,1,"Shawnya","Harris","Director",3363343209,"Museums",712110,712110,712110,NA,NA,"Private","Guilford",2,NA,"ncat.edu",1968,"202 University Cir Greensboro NC 27411","https://www.ncat.edu","Art",36.07471556,-79.77763835
"2","Ackland Art Museum","101 S Columbia St # 100","Chapel Hill","NC",27514,NA,"Elizabeth","Manekin","Educator",9198433675,"Museums",712110,NA,NA,NA,NA,"Private","Orange",30,NA,"ackland.org",2018,"101 S Columbia St # 100 Chapel Hill NC 27514","https://www.ackland.org","Art",35.9114796,-79.05473222
"3","Artspace","201 E Davie St # 101","Raleigh","NC",27601,1830,"Mary","Poole","CEO",9198212787,"Museums",712110,459920,813319,712110,712110,"Private","Wake",13,NA,"artspacenc.org",1986,"201 E Davie St # 101 Raleigh NC 27601","https://www.artspacenc.org","Art",35.77555968,-78.63666666
"4","Bascom","294 S 4th St","Highlands","NC",28741,8371,NA,NA,NA,8283712764,"Museums",712110,NA,NA,NA,NA,"Private","Macon",2,NA,"thebascom.org",2011,"294 S 4th St Highlands NC 28741","https://www.thebascom.org","Art",35.05084897,-83.19756791
"5","Bechtler Museum of Modern Art","420 S Tryon St","Charlotte","NC",28202,1937,"John","Boyer","CEO",7043539200,"Museums",712110,712110,712110,NA,NA,"Private","Mecklenburg",22,NA,"bechtler.org",2009,"420 S Tryon St Charlotte NC 28202","https://www.bechtler.org","Art",35.22478554,-80.84668478
"6","Bertie County Arts Council","124 S King St","Windsor","NC",27983,6714,"Adalia","Powell","Manager",2527949402,"Museums",712110,NA,NA,NA,NA,"Private","Bertie",2,NA,"bertiearts.com",1987,"124 S King St Windsor NC 27983","https://www.bertiearts.com","Art",35.99811362,-76.94610941
"7","Black Mountain Clg Msm & Arts","120 College St","Asheville","NC",28801,3011,"Jeff","Arnal","Exec Director",8283508484,"Museums",712110,712110,999990,NA,NA,"Private","Buncombe",4,NA,NA,1992,"120 College St Asheville NC 28801","","Art",35.59585093,-82.55057118
"8","Cameron Art Museum","3201 S 17th St","Wilmington","NC",28412,6554,"Anne","Brennan","Exec Director",9103955999,"Museums",712110,444240,722320,561920,712120,"Private","New Hanover",31,NA,"cameronartmuseum.org",1962,"3201 S 17th St Wilmington NC 28412","https://www.cameronartmuseum.org","Art",34.1842079,-77.91651946
"9","Carpet & Ethnographic Art Msm","523 Keisler Dr # 202","Cary","NC",27518,7099,"W M","Gilfillan","Owner",9190001111,"Museums",712110,NA,NA,NA,NA,"Private","Wake",2,NA,NA,2016,"523 Keisler Dr # 202 Cary NC 27518","","Art",35.74228373,-78.77717897
"10","Chowan Arts Council Gallery","112 W Water St","Edenton","NC",27932,1854,"Murielle","Harmon","Director",2524828005,"Museums",712110,813319,712110,712110,712110,"Private","Chowan",1,NA,"chowanarts.com",1986,"112 W Water St Edenton NC 27932","https://www.chowanarts.com","Art",36.05715355,-76.60986574
